timestamp,network_mode,state,duplex_mode,cell_id,rsrp,rsrq,sinr,max_neighbor_rsrp,max_neighbor_rsrq,max_neighbor_sinr,avg_neighbor_rsrp,avg_neighbor_rsrq,avg_neighbor_sinr,bandwidth,cell_changed,rssi,band,ul_bandwidth,ul_throughput,rtt,retry,cwnd,loss_rate
1742812185.102351,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,17,-80,-14,-3,-80,-14,-3,100,0,24,N/A,97.6,11.6,19.7,20,85.5,0.00
1742812186.347977,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-84,-18,-5,-84,-18,-5,100,0,24,N/A,112.0,13.4,19.7,0,85.5,0.00
1742812187.594259,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-7,16,-80,-14,-3,-80,-14,-3,100,0,24,N/A,104.0,12.4,21.7,0,85.5,0.00
1742812188.8408284,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-78,-13,-4,-78,-13,-4,100,0,24,N/A,96.9,11.5,17.7,0,85.5,0.00
1742812190.085898,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-79,-13,-2,-79,-13,-2,100,0,24,N/A,90.7,10.8,18.6,12,59.9,0.00
1742812191.3323543,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-80,-13,-2,-80,-13,-2,100,0,24,N/A,101.0,12.0,19.9,0,64.2,0.00
1742812192.5771022,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-79,-13,0,-79,-13,0,100,0,24,N/A,106.0,12.7,18.8,0,64.2,0.00
1742812193.8258529,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,21,-78,-14,-2,-78,-14,-2,100,0,24,N/A,87.4,10.4,22.4,0,64.2,0.00
1742812195.0969675,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,20,-78,-13,1,-78,-13,1,100,0,24,N/A,94.6,11.3,17.4,0,64.2,0.00
1742812196.37119,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,20,-78,-13,-3,-78,-13,-3,100,0,24,N/A,110.0,13.2,18.5,0,64.2,0.00
1742812197.6182308,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,18,-78,-13,-2,-78,-13,-2,100,0,24,N/A,103.0,12.3,17.5,0,64.2,0.00
1742812198.8928466,NR5G-SA,LIMSRV,TDD,A120C0002,-66,-7,20,-78,-13,-1,-78,-13,-1,100,0,24,N/A,86.9,10.4,18.4,0,64.2,0.00
1742812200.164034,NR5G-SA,LIMSRV,TDD,A120C0002,-67,-7,18,-78,-13,-2,-78,-13,-2,100,0,24,N/A,94.3,11.2,18.6,0,64.2,0.00
